State,"OBAMA, BARACK","ROMNEY, MITT / RYAN, PAUL D.","PAUL, RON","GINGRICH, NEWT","SANTORUM, RICHARD J.","PERRY, JAMES R (RICK)","CAIN, HERMAN","HERMAN, RAPHAEL","HUNTSMAN, JON","PAWLENTY, TIMOTHY"
IA,"$2,335,016.03 ","$2,167,497.41 ","$280,831.78 ","$126,828.82 ","$218,364.80 ","$16,000.00 ","$52,959.89 ",$0.00 ,$900.00 ,"$15,530.00 "
VT,"$2,298,509.11 ","$296,910.60 ","$52,129.74 ","$12,630.00 ","$15,127.80 ","$3,800.00 ","$13,660.00 ",$0.00 ,"$4,850.00 ","$1,750.00 "
LA,"$2,292,679.41 ","$4,796,917.19 ","$279,166.93 ","$327,607.28 ","$238,216.23 ","$571,505.00 ","$82,851.23 ",$0.00 ,"$4,500.00 ","$12,650.00 "
KY,"$2,280,400.84 ","$3,455,228.38 ","$189,855.44 ","$89,848.16 ","$87,623.71 ","$61,250.00 ","$57,846.90 ",$0.00 ,"$4,870.00 ","$2,800.00 "
AL,"$2,078,499.83 ","$4,217,044.94 ","$227,952.81 ","$193,422.66 ","$177,918.18 ","$33,574.96 ","$94,236.87 ",$0.00 ,"$4,500.00 ","$17,800.00 "
OK,"$1,962,917.08 ","$4,838,968.42 ","$225,106.37 ","$176,743.03 ","$156,375.66 ","$475,150.00 ","$137,607.79 ",$0.00 ,"$38,248.00 ","$7,850.00 "
OT,"$1,938,302.59 ","$1,346,392.51 ","$72,757.88 ","$8,500.00 ","$42,921.10 ","$16,500.00 ","$7,650.00 ",$0.00 ,"$30,050.00 ","$3,250.00 "
UT,"$1,874,825.60 ","$8,846,856.39 ","$212,612.69 ","$22,700.00 ","$28,643.35 ","$22,550.00 ","$16,539.99 ",$0.00 ,"$369,773.00 ","$37,500.00 "
KS,"$1,807,072.28 ","$2,710,676.09 ","$181,509.04 ","$107,747.42 ","$128,311.43 ","$43,350.00 ","$93,504.54 ",$0.00 ,"$4,900.00 ","$71,500.00 "
RI,"$1,448,486.03 ","$680,266.92 ","$59,305.39 ","$12,993.52 ","$22,599.03 ","$6,750.00 ","$8,950.00 ",$0.00 ,"$9,800.00 ",$800.00 
AK,"$1,281,465.38 ","$743,026.92 ","$135,401.56 ","$32,991.02 ","$24,081.97 ","$3,900.00 ","$30,653.92 ",$0.00 ,"$2,500.00 ",$250.00 
DE,"$1,268,872.60 ","$776,168.52 ","$56,057.23 ","$15,275.68 ","$16,655.00 ","$4,450.00 ","$14,115.00 ",$0.00 ,"$7,353.00 ",$800.00 
AR,"$1,218,911.03 ","$1,893,705.50 ","$125,299.17 ","$67,405.56 ","$49,492.25 ","$29,565.00 ","$55,411.02 ",$0.00 ,"$13,604.00 ","$15,850.00 "
MT,"$1,053,800.52 ","$1,149,684.00 ","$138,762.56 ","$35,480.60 ","$49,454.64 ",$450.50 ,"$36,400.00 ",$0.00 ,"$3,175.00 ","$3,950.00 "
NE,"$989,978.19 ","$1,975,650.60 ","$100,036.40 ","$59,989.02 ","$87,769.74 ","$9,200.00 ","$92,747.90 ",$0.00 ,"$3,129.00 ","$36,500.00 "
ID,"$918,422.64 ","$2,516,127.80 ","$166,927.54 ","$56,445.40 ","$48,391.55 ","$2,250.00 ","$29,131.35 ",$0.00 ,"$21,500.00 ","$7,950.00 "
MS,"$895,709.29 ","$2,372,893.25 ","$153,360.06 ","$93,357.76 ","$56,191.80 ","$98,200.00 ","$23,839.90 ",$0.00 ,"$2,375.00 ","$2,175.00 "
WV,"$826,674.50 ","$1,051,485.72 ","$83,197.87 ","$29,752.07 ","$20,226.20 ","$170,025.00 ","$14,014.00 ",$0.00 ,"$5,119.00 ",$0.00 
WY,"$724,123.74 ","$1,451,537.70 ","$108,530.44 ","$38,244.40 ","$49,745.00 ","$12,900.00 ","$40,960.00 ",$0.00 ,"$6,250.00 ","$15,000.00 "
