cand_id,cmte_id,cycle,total,count,support_oppose_indicator,candidate_id,committee_id,candidate_name,committee_name
P00009795,C00726208,2020,936743.50,10,S,P00009795,C00726208,"BOOKER, CORY A.",UNITED WE WIN SUPER PAC
P00009795,C00728352,2020,1172.05,2,O,P00009795,C00728352,"BOOKER, CORY A.",DREAM DEFENDERS FIGHT PAC
P00010298,C00406256,2020,32.14,1,S,P00010298,C00406256,"BUTTIGIEG, PETE",DEMOCRATIC CENTRAL COMMITTEE OF MARIN
P00010298,C00418897,2020,3643904.93,20,S,P00010298,C00418897,"BUTTIGIEG, PETE",VOTEVETS
P00010298,C00427575,2020,16.08,1,S,P00010298,C00427575,"BUTTIGIEG, PETE",EASTERN WASHINGTON VOTERS
P00010298,C00432260,2020,831.46,3,O,P00010298,C00432260,"BUTTIGIEG, PETE",CLUB FOR GROWTH PAC
P00010298,C00433318,2020,172.51,1,S,P00010298,C00433318,"BUTTIGIEG, PETE",PLACER COUNTY DEMOCRATIC CENTRAL COMMITTEE
P00010298,C00530766,2020,4600.00,4,O,P00010298,C00530766,"BUTTIGIEG, PETE",WOMEN SPEAK OUT PAC
P00010298,C00662072,2020,24100.00,3,O,P00010298,C00662072,"BUTTIGIEG, PETE",DRAIN THE DC SWAMP PAC
P00010298,C00674697,2020,57.29,1,O,P00010298,C00674697,"BUTTIGIEG, PETE",SUNRISE PAC
P00010298,C00701797,2020,22504.53,3,S,P00010298,C00701797,"BUTTIGIEG, PETE",EQUALITY CALIFORNIA VOTES
P00010298,C00709543,2020,552.55,13,S,P00010298,C00709543,"BUTTIGIEG, PETE",MILLENNIALS FOR PROGRESS
P00010298,C00728352,2020,1172.05,2,O,P00010298,C00728352,"BUTTIGIEG, PETE",DREAM DEFENDERS FIGHT PAC
P00010298,C00734616,2020,137.53,1,S,P00010298,C00734616,"BUTTIGIEG, PETE",RED WHITE AND DEFINITELY BLUE
P00010298,C90018045,2020,101.39,4,O,P00010298,C90018045,"BUTTIGIEG, PETE",UNITED WE DREAM ACTION
P00010298,C90018862,2020,1592.09,10,S,P00010298,C90018862,"BUTTIGIEG, PETE","MISLOVE, ALAN EDWARD"
